,PLAYER_ID,full_name,SEASON_ID,SEASON_EXP,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,POSITION,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS,is_active
201,1628389,Bam Adebayo,2017-18,4,1610612748,MIA,20.0,Center-Forward,69,19.0,1368.0,174,340,0.0,7.0,129,179,118.0,263.0,101,32.0,41.0,66.0,138,477,True
202,1628389,Bam Adebayo,2018-19,4,1610612748,MIA,21.0,Center-Forward,82,28.0,1913.0,280,486,3.0,15.0,166,226,165.0,432.0,184,71.0,65.0,121.0,203,729,True
203,1628389,Bam Adebayo,2019-20,4,1610612748,MIA,22.0,Center-Forward,72,72.0,2417.0,440,790,2.0,14.0,264,382,176.0,559.0,368,82.0,93.0,204.0,182,1146,True
204,1628389,Bam Adebayo,2020-21,4,1610612748,MIA,23.0,Center-Forward,64,64.0,2143.0,456,800,2.0,8.0,283,354,142.0,431.0,346,75.0,66.0,169.0,145,1197,True
205,1628389,Bam Adebayo,2021-22,4,1610612748,MIA,24.0,Center-Forward,56,56.0,1825.0,406,729,0.0,6.0,256,340,137.0,427.0,190,80.0,44.0,148.0,171,1068,True
311,200746,LaMarcus Aldridge,2006-07,15,1610612757,POR,21.0,Center-Forward,63,22.0,1392.0,241,479,0.0,2.0,83,115,144.0,168.0,24,22.0,73.0,43.0,186,565,True
312,200746,LaMarcus Aldridge,2007-08,15,1610612757,POR,22.0,Center-Forward,76,76.0,2649.0,561,1160,1.0,7.0,227,298,220.0,358.0,122,55.0,94.0,126.0,240,1350,True
313,200746,LaMarcus Aldridge,2008-09,15,1610612757,POR,23.0,Center-Forward,81,81.0,3004.0,601,1243,7.0,28.0,261,334,234.0,371.0,157,77.0,77.0,121.0,207,1470,True
314,200746,LaMarcus Aldridge,2009-10,15,1610612757,POR,24.0,Center-Forward,78,78.0,2922.0,579,1169,5.0,16.0,230,304,192.0,435.0,160,67.0,48.0,104.0,231,1393,True
315,200746,LaMarcus Aldridge,2010-11,15,1610612757,POR,25.0,Center-Forward,81,81.0,3211.0,707,1415,4.0,23.0,351,444,278.0,431.0,170,82.0,94.0,153.0,220,1769,True
316,200746,LaMarcus Aldridge,2011-12,15,1610612757,POR,26.0,Center-Forward,55,55.0,1994.0,483,943,2.0,11.0,223,274,150.0,292.0,134,51.0,45.0,111.0,153,1191,True
317,200746,LaMarcus Aldridge,2012-13,15,1610612757,POR,27.0,Center-Forward,74,74.0,2790.0,638,1318,2.0,14.0,282,348,175.0,495.0,192,62.0,91.0,143.0,187,1560,True
318,200746,LaMarcus Aldridge,2013-14,15,1610612757,POR,28.0,Center-Forward,69,69.0,2499.0,652,1423,3.0,15.0,296,360,166.0,599.0,178,63.0,68.0,123.0,147,1603,True
319,200746,LaMarcus Aldridge,2014-15,15,1610612757,POR,29.0,Center-Forward,71,71.0,2512.0,659,1415,37.0,105.0,306,362,177.0,549.0,124,48.0,68.0,122.0,125,1661,True
320,200746,LaMarcus Aldridge,2015-16,15,1610612759,SAS,30.0,Center-Forward,74,74.0,2261.0,536,1045,0.0,16.0,259,302,176.0,456.0,110,38.0,81.0,99.0,151,1331,True
321,200746,LaMarcus Aldridge,2016-17,15,1610612759,SAS,31.0,Center-Forward,72,72.0,2335.0,500,1049,23.0,56.0,220,271,172.0,351.0,139,46.0,88.0,98.0,158,1243,True
322,200746,LaMarcus Aldridge,2017-18,15,1610612759,SAS,32.0,Center-Forward,75,75.0,2509.0,687,1347,27.0,92.0,334,399,246.0,389.0,152,43.0,90.0,111.0,161,1735,True
323,200746,LaMarcus Aldridge,2018-19,15,1610612759,SAS,33.0,Center-Forward,81,81.0,2687.0,684,1319,10.0,42.0,349,412,251.0,493.0,194,43.0,107.0,144.0,179,1727,True
324,200746,LaMarcus Aldridge,2019-20,15,1610612759,SAS,34.0,Center-Forward,53,53.0,1754.0,391,793,61.0,157.0,158,191,103.0,289.0,129,36.0,87.0,74.0,128,1001,True
325,200746,LaMarcus Aldridge,2020-21,15,1610612759,SAS,35.0,Center-Forward,21,18.0,544.0,115,248,27.0,75.0,31,37,17.0,77.0,36,8.0,18.0,20.0,36,288,True
326,200746,LaMarcus Aldridge,2020-21,15,1610612751,BKN,35.0,Center-Forward,5,5.0,130.0,25,48,4.0,5.0,10,10,2.0,22.0,13,3.0,11.0,7.0,11,64,True
327,200746,LaMarcus Aldridge,2020-21,15,0,TOT,35.0,Center-Forward,26,23.0,674.0,140,296,31.0,80.0,41,47,19.0,99.0,49,11.0,29.0,27.0,47,352,True
328,200746,LaMarcus Aldridge,2021-22,15,1610612751,BKN,36.0,Center-Forward,47,12.0,1050.0,252,458,14.0,46.0,89,102,73.0,185.0,42,14.0,47.0,44.0,78,607,True
