,PLAYER_ID,full_name,SEASON_ID,SEASON_EXP,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,POSITION,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS,is_active
79,1505,Tariq Abdul-Wahad,1997-98,7,1610612758,SAC,23.0,Forward-Guard,59,16.0,959.0,144,357,4.0,19.0,84,125,44.0,72.0,51,35.0,13.0,65.0,81,376,False
80,1505,Tariq Abdul-Wahad,1998-99,7,1610612758,SAC,24.0,Forward-Guard,49,49.0,1205.0,177,407,6.0,21.0,94,136,72.0,114.0,50,50.0,16.0,70.0,121,454,False
81,1505,Tariq Abdul-Wahad,1999-00,7,1610612753,ORL,25.0,Forward-Guard,46,46.0,1205.0,223,515,2.0,21.0,115,151,77.0,162.0,72,53.0,16.0,87.0,116,563,False
82,1505,Tariq Abdul-Wahad,1999-00,7,1610612743,DEN,25.0,Forward-Guard,15,10.0,373.0,51,131,1.0,2.0,31,42,24.0,28.0,26,6.0,12.0,19.0,31,134,False
83,1505,Tariq Abdul-Wahad,1999-00,7,0,TOT,25.0,Forward-Guard,61,56.0,1578.0,274,646,3.0,23.0,146,193,101.0,190.0,98,59.0,28.0,106.0,147,697,False
84,1505,Tariq Abdul-Wahad,2000-01,7,1610612743,DEN,26.0,Forward-Guard,29,12.0,421.0,43,111,4.0,10.0,21,36,14.0,45.0,22,14.0,13.0,34.0,54,111,False
85,1505,Tariq Abdul-Wahad,2001-02,7,1610612743,DEN,27.0,Forward-Guard,20,12.0,419.0,55,145,1.0,2.0,24,32,39.0,39.0,22,18.0,9.0,24.0,51,135,False
86,1505,Tariq Abdul-Wahad,2001-02,7,1610612742,DAL,27.0,Forward-Guard,4,0.0,24.0,0,2,0.0,0.0,0,1,2.0,4.0,2,2.0,1.0,3.0,5,0,False
87,1505,Tariq Abdul-Wahad,2001-02,7,0,TOT,27.0,Forward-Guard,24,12.0,442.0,55,147,1.0,2.0,24,33,41.0,43.0,24,20.0,10.0,27.0,56,135,False
88,1505,Tariq Abdul-Wahad,2002-03,7,1610612742,DAL,28.0,Forward-Guard,14,0.0,204.0,27,58,0.0,1.0,3,6,14.0,26.0,21,6.0,3.0,7.0,26,57,False
237,200772,Maurice Ager,2006-07,4,1610612742,DAL,23.0,Forward-Guard,32,1.0,214.0,22,70,5.0,15.0,20,33,1.0,20.0,7,4.0,3.0,15.0,27,69,False
238,200772,Maurice Ager,2007-08,4,1610612742,DAL,24.0,Forward-Guard,12,3.0,77.0,5,27,0.0,8.0,5,6,1.0,3.0,4,0.0,1.0,3.0,11,15,False
239,200772,Maurice Ager,2007-08,4,1610612751,NJN,24.0,Forward-Guard,14,0.0,88.0,16,38,3.0,11.0,1,6,3.0,6.0,4,0.0,0.0,3.0,6,36,False
240,200772,Maurice Ager,2007-08,4,0,TOT,24.0,Forward-Guard,26,3.0,165.0,21,65,3.0,19.0,6,12,4.0,9.0,8,0.0,1.0,6.0,17,51,False
241,200772,Maurice Ager,2008-09,4,1610612751,NJN,25.0,Forward-Guard,20,0.0,97.0,15,43,0.0,6.0,4,8,3.0,7.0,3,1.0,2.0,4.0,17,34,False
242,200772,Maurice Ager,2010-11,4,1610612750,MIN,27.0,Forward-Guard,4,0.0,29.0,6,11,3.0,4.0,0,0,0.0,2.0,1,1.0,0.0,4.0,4,15,False
545,101187,Alan Anderson,2005-06,9,1610612766,CHA,23.0,Forward-Guard,36,7.0,564.0,75,181,24.0,58.0,33,41,23.0,47.0,32,11.0,4.0,32.0,48,207,False
546,101187,Alan Anderson,2006-07,9,1610612766,CHA,24.0,Forward-Guard,17,0.0,256.0,37,81,5.0,20.0,19,23,11.0,21.0,21,7.0,0.0,22.0,33,98,False
547,101187,Alan Anderson,2011-12,9,1610612761,TOR,29.0,Forward-Guard,17,12.0,461.0,55,142,24.0,61.0,29,34,8.0,26.0,26,5.0,3.0,25.0,35,163,False
548,101187,Alan Anderson,2012-13,9,1610612761,TOR,30.0,Forward-Guard,65,2.0,1495.0,236,616,95.0,285.0,126,147,34.0,114.0,103,48.0,7.0,80.0,131,693,False
549,101187,Alan Anderson,2013-14,9,1610612751,BKN,31.0,Forward-Guard,78,26.0,1773.0,194,485,84.0,248.0,92,118,40.0,135.0,81,48.0,11.0,62.0,147,564,False
550,101187,Alan Anderson,2014-15,9,1610612751,BKN,32.0,Forward-Guard,74,19.0,1744.0,195,440,73.0,210.0,82,101,31.0,173.0,83,56.0,5.0,60.0,148,545,False
551,101187,Alan Anderson,2015-16,9,1610612764,WAS,33.0,Forward-Guard,13,0.0,192.0,21,59,12.0,37.0,11,15,1.0,26.0,14,4.0,1.0,2.0,25,65,False
552,101187,Alan Anderson,2016-17,9,1610612746,LAC,34.0,Forward-Guard,30,0.0,308.0,30,80,14.0,44.0,12,16,3.0,21.0,11,3.0,0.0,7.0,35,86,False
599,1626147,Justin Anderson,2015-16,5,1610612742,DAL,22.0,Forward-Guard,55,9.0,647.0,71,175,22.0,83.0,44,55,18.0,114.0,29,19.0,25.0,24.0,45,208,False
600,1626147,Justin Anderson,2016-17,5,1610612742,DAL,23.0,Forward-Guard,51,2.0,710.0,111,277,37.0,122.0,70,88,39.0,110.0,32,28.0,16.0,40.0,64,329,False
601,1626147,Justin Anderson,2016-17,5,1610612755,PHI,23.0,Forward-Guard,24,8.0,518.0,75,162,21.0,72.0,32,41,30.0,66.0,34,13.0,7.0,26.0,45,203,False
602,1626147,Justin Anderson,2016-17,5,0,TOT,23.0,Forward-Guard,75,10.0,1227.0,186,439,58.0,194.0,102,129,69.0,176.0,66,41.0,23.0,66.0,109,532,False
603,1626147,Justin Anderson,2017-18,5,1610612755,PHI,24.0,Forward-Guard,38,0.0,519.0,87,202,34.0,103.0,28,38,25.0,68.0,25,15.0,7.0,16.0,54,236,False
604,1626147,Justin Anderson,2018-19,5,1610612737,ATL,25.0,Forward-Guard,48,4.0,464.0,64,157,24.0,77.0,26,35,24.0,60.0,23,22.0,13.0,23.0,48,178,False
605,1626147,Justin Anderson,2019-20,5,1610612751,BKN,26.0,Forward-Guard,10,1.0,107.0,10,38,6.0,29.0,2,4,1.0,20.0,8,0.0,6.0,4.0,13,28,False
606,1626147,Justin Anderson,2021-22,5,1610612739,CLE,28.0,Forward-Guard,3,0.0,47.0,4,8,2.0,6.0,3,4,0.0,6.0,6,1.0,0.0,2.0,4,13,False
607,1626147,Justin Anderson,2021-22,5,1610612754,IND,28.0,Forward-Guard,13,6.0,269.0,32,87,13.0,53.0,12,15,4.0,36.0,27,7.0,6.0,6.0,18,89,False
608,1626147,Justin Anderson,2021-22,5,0,TOT,28.0,Forward-Guard,16,6.0,316.0,36,95,15.0,59.0,15,19,4.0,42.0,33,8.0,6.0,8.0,22,102,False
632,203937,Kyle Anderson,2014-15,7,1610612759,SAS,21.0,Forward-Guard,33,8.0,358.0,31,89,3.0,11.0,9,14,5.0,67.0,28,15.0,7.0,10.0,28,74,True
633,203937,Kyle Anderson,2015-16,7,1610612759,SAS,22.0,Forward-Guard,78,11.0,1245.0,138,295,12.0,37.0,62,83,25.0,219.0,123,60.0,29.0,59.0,97,350,True
634,203937,Kyle Anderson,2016-17,7,1610612759,SAS,23.0,Forward-Guard,72,14.0,1020.0,93,209,15.0,40.0,45,57,33.0,175.0,91,51.0,26.0,39.0,63,246,True
635,203937,Kyle Anderson,2017-18,7,1610612759,SAS,24.0,Forward-Guard,74,67.0,1978.0,231,438,19.0,57.0,104,146,84.0,312.0,202,115.0,60.0,94.0,114,585,True
636,203937,Kyle Anderson,2018-19,7,1610612763,MEM,25.0,Forward-Guard,43,40.0,1282.0,150,276,9.0,34.0,37,64,48.0,203.0,128,54.0,37.0,58.0,112,346,True
637,203937,Kyle Anderson,2019-20,7,1610612763,MEM,26.0,Forward-Guard,67,28.0,1330.0,157,331,24.0,85.0,52,78,58.0,227.0,162,54.0,37.0,66.0,111,390,True
638,203937,Kyle Anderson,2020-21,7,1610612763,MEM,27.0,Forward-Guard,69,69.0,1887.0,308,658,94.0,261.0,144,184,52.0,344.0,250,84.0,57.0,86.0,120,854,True
639,203937,Kyle Anderson,2021-22,7,1610612763,MEM,28.0,Forward-Guard,69,11.0,1484.0,209,469,36.0,109.0,67,105,69.0,299.0,183,77.0,45.0,71.0,108,521,True
649,98,Nick Anderson,1992-93,14,1610612753,ORL,25.0,Forward-Guard,79,76.0,2920.0,594,1324,88.0,249.0,298,402,122.0,355.0,265,128.0,56.0,164.0,200,1574,False
650,98,Nick Anderson,1993-94,14,1610612753,ORL,26.0,Forward-Guard,81,81.0,2811.0,504,1054,101.0,314.0,168,250,113.0,363.0,294,134.0,33.0,165.0,148,1277,False
651,98,Nick Anderson,1994-95,14,1610612753,ORL,27.0,Forward-Guard,76,76.0,2588.0,439,923,179.0,431.0,143,203,85.0,250.0,314,125.0,22.0,141.0,124,1200,False
652,98,Nick Anderson,1995-96,14,1610612753,ORL,28.0,Forward-Guard,77,77.0,2717.0,400,904,168.0,430.0,166,240,92.0,323.0,279,121.0,46.0,141.0,135,1134,False
653,98,Nick Anderson,1996-97,14,1610612753,ORL,29.0,Forward-Guard,63,61.0,2164.0,288,725,143.0,405.0,38,94,66.0,238.0,182,120.0,32.0,86.0,160,757,False
654,98,Nick Anderson,1997-98,14,1610612753,ORL,30.0,Forward-Guard,58,44.0,1701.0,343,754,77.0,214.0,127,199,98.0,199.0,119,72.0,23.0,85.0,98,890,False
655,98,Nick Anderson,1998-99,14,1610612753,ORL,31.0,Forward-Guard,47,39.0,1581.0,253,640,96.0,277.0,99,162,51.0,226.0,91,64.0,15.0,83.0,72,701,False
656,98,Nick Anderson,1999-00,14,1610612758,SAC,32.0,Forward-Guard,72,72.0,2094.0,306,782,132.0,397.0,37,76,83.0,256.0,123,94.0,16.0,95.0,118,781,False
657,98,Nick Anderson,2000-01,14,1610612758,SAC,33.0,Forward-Guard,21,0.0,170.0,14,57,10.0,39.0,0,0,3.0,22.0,13,10.0,4.0,7.0,13,38,False
658,98,Nick Anderson,2001-02,14,1610612763,MEM,34.0,Forward-Guard,15,0.0,220.0,21,76,13.0,48.0,5,9,1.0,32.0,14,6.0,6.0,14.0,17,60,False
996,173,Keith Askins,1992-93,9,1610612748,MIA,25.0,Forward-Guard,69,1.0,935.0,88,213,22.0,65.0,29,40,74.0,124.0,31,31.0,29.0,37.0,141,227,False
997,173,Keith Askins,1993-94,9,1610612748,MIA,26.0,Forward-Guard,37,0.0,319.0,36,88,4.0,21.0,9,10,33.0,49.0,13,11.0,1.0,21.0,57,85,False
998,173,Keith Askins,1994-95,9,1610612748,MIA,27.0,Forward-Guard,50,5.0,854.0,81,207,21.0,78.0,46,57,86.0,112.0,39,35.0,17.0,25.0,109,229,False
999,173,Keith Askins,1995-96,9,1610612748,MIA,28.0,Forward-Guard,75,14.0,1897.0,157,391,99.0,237.0,45,57,113.0,211.0,121,48.0,61.0,82.0,271,458,False
1000,173,Keith Askins,1996-97,9,1610612748,MIA,29.0,Forward-Guard,78,30.0,1769.0,138,319,69.0,172.0,39,58,86.0,185.0,75,53.0,19.0,59.0,196,384,False
1001,173,Keith Askins,1997-98,9,1610612748,MIA,30.0,Forward-Guard,46,12.0,681.0,39,122,21.0,74.0,12,19,28.0,73.0,29,27.0,12.0,26.0,107,111,False
1002,173,Keith Askins,1998-99,9,1610612748,MIA,31.0,Forward-Guard,33,13.0,415.0,20,62,8.0,29.0,5,8,10.0,34.0,10,17.0,3.0,13.0,58,53,False
1036,278,Stacey Augmon,1992-93,16,1610612737,ATL,24.0,Forward-Guard,73,66.0,2112.0,397,792,0.0,4.0,227,307,141.0,146.0,170,91.0,18.0,157.0,141,1021,False
1037,278,Stacey Augmon,1993-94,16,1610612737,ATL,25.0,Forward-Guard,82,82.0,2605.0,439,861,1.0,7.0,333,436,178.0,216.0,187,149.0,45.0,147.0,179,1212,False
1038,278,Stacey Augmon,1994-95,16,1610612737,ATL,26.0,Forward-Guard,76,76.0,2362.0,397,876,7.0,26.0,252,346,157.0,211.0,197,100.0,47.0,152.0,163,1053,False
1039,278,Stacey Augmon,1995-96,16,1610612737,ATL,27.0,Forward-Guard,77,49.0,2294.0,362,738,1.0,4.0,251,317,137.0,167.0,137,106.0,31.0,138.0,188,976,False
1040,278,Stacey Augmon,1996-97,16,1610612765,DET,28.0,Forward-Guard,20,3.0,293.0,31,77,0.0,0.0,28,41,14.0,35.0,15,10.0,10.0,27.0,29,90,False
1041,278,Stacey Augmon,1996-97,16,1610612757,POR,28.0,Forward-Guard,40,7.0,650.0,74,143,0.0,0.0,41,56,33.0,56.0,41,32.0,7.0,37.0,58,189,False
