,PLAYER_ID,full_name,SEASON_ID,SEASON_EXP,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,POSITION,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS,is_active
289,1629152,DeVaughn Akoon-Purcell,2018-19,2,1610612743,DEN,26.0,Guard-Forward,7,0.0,22.0,3,10,0.0,4.0,1,2,1.0,3.0,6,2.0,0.0,2.0,4,7,False
444,2754,Tony Allen,2004-05,14,1610612738,BOS,23.0,Guard-Forward,77,34.0,1260.0,184,387,12.0,31.0,112,152,85.0,136.0,64,76.0,24.0,77.0,156,492,False
445,2754,Tony Allen,2005-06,14,1610612738,BOS,24.0,Guard-Forward,51,9.0,978.0,129,274,11.0,34.0,100,134,32.0,79.0,67,51.0,18.0,67.0,126,369,False
446,2754,Tony Allen,2006-07,14,1610612738,BOS,25.0,Guard-Forward,33,18.0,805.0,133,259,8.0,33.0,105,134,35.0,89.0,56,49.0,12.0,75.0,87,379,False
447,2754,Tony Allen,2007-08,14,1610612738,BOS,26.0,Guard-Forward,75,11.0,1373.0,169,389,18.0,57.0,138,181,34.0,134.0,114,62.0,21.0,109.0,168,494,False
448,2754,Tony Allen,2008-09,14,1610612738,BOS,27.0,Guard-Forward,46,2.0,887.0,137,284,6.0,27.0,79,109,22.0,82.0,66,54.0,23.0,77.0,98,359,False
449,2754,Tony Allen,2009-10,14,1610612738,BOS,28.0,Guard-Forward,54,8.0,889.0,129,253,0.0,5.0,72,119,52.0,93.0,72,59.0,19.0,66.0,109,330,False
450,2754,Tony Allen,2010-11,14,1610612763,MEM,29.0,Guard-Forward,72,31.0,1494.0,251,492,4.0,23.0,137,182,70.0,123.0,104,129.0,44.0,86.0,161,643,False
451,2754,Tony Allen,2011-12,14,1610612763,MEM,30.0,Guard-Forward,58,57.0,1525.0,210,448,8.0,26.0,140,175,98.0,135.0,79,104.0,33.0,94.0,142,568,False
452,2754,Tony Allen,2012-13,14,1610612763,MEM,31.0,Guard-Forward,79,79.0,2109.0,284,638,3.0,24.0,134,187,121.0,242.0,98,119.0,44.0,94.0,211,705,False
453,2754,Tony Allen,2013-14,14,1610612763,MEM,32.0,Guard-Forward,55,28.0,1278.0,204,413,11.0,47.0,76,121,79.0,129.0,94,90.0,19.0,90.0,121,495,False
454,2754,Tony Allen,2014-15,14,1610612763,MEM,33.0,Guard-Forward,63,41.0,1648.0,225,455,10.0,29.0,79,126,103.0,177.0,86,129.0,30.0,86.0,166,539,False
455,2754,Tony Allen,2015-16,14,1610612763,MEM,34.0,Guard-Forward,64,57.0,1620.0,215,469,15.0,42.0,90,138,104.0,192.0,70,110.0,18.0,78.0,175,535,False
456,2754,Tony Allen,2016-17,14,1610612763,MEM,35.0,Guard-Forward,71,66.0,1914.0,274,595,15.0,54.0,80,130,166.0,225.0,98,115.0,29.0,100.0,178,643,False
