,PLAYER_ID,full_name,SEASON_ID,SEASON_EXP,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,POSITION,GP,GS,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,PTS,is_active
72,51,Mahmoud Abdul-Rauf,1992-93,9,1610612743,DEN,24.0,Guard,81,81.0,2710.0,633,1407,70.0,197.0,217,232,51.0,174.0,344,84.0,8.0,187.0,179,1553,False
73,51,Mahmoud Abdul-Rauf,1993-94,9,1610612743,DEN,25.0,Guard,80,78.0,2617.0,588,1279,42.0,133.0,219,229,27.0,141.0,362,82.0,10.0,151.0,150,1437,False
74,51,Mahmoud Abdul-Rauf,1994-95,9,1610612743,DEN,26.0,Guard,73,43.0,2082.0,472,1005,83.0,215.0,138,156,32.0,105.0,263,77.0,9.0,119.0,126,1165,False
75,51,Mahmoud Abdul-Rauf,1995-96,9,1610612743,DEN,27.0,Guard,57,53.0,2029.0,414,955,121.0,309.0,146,157,26.0,112.0,389,64.0,3.0,115.0,117,1095,False
76,51,Mahmoud Abdul-Rauf,1996-97,9,1610612758,SAC,28.0,Guard,75,51.0,2131.0,411,924,94.0,246.0,115,136,16.0,106.0,189,56.0,6.0,119.0,174,1031,False
77,51,Mahmoud Abdul-Rauf,1997-98,9,1610612758,SAC,29.0,Guard,31,0.0,530.0,103,273,5.0,31.0,16,16,6.0,31.0,58,16.0,1.0,19.0,31,227,False
78,51,Mahmoud Abdul-Rauf,2000-01,9,1610612763,VAN,32.0,Guard,41,0.0,485.0,120,246,4.0,14.0,22,29,5.0,20.0,76,9.0,1.0,26.0,50,266,False
115,203518,Alex Abrines,2016-17,3,1610612760,OKC,23.0,Guard,68,6.0,1055.0,134,341,94.0,247.0,44,49,18.0,68.0,40,37.0,8.0,33.0,114,406,False
116,203518,Alex Abrines,2017-18,3,1610612760,OKC,24.0,Guard,75,8.0,1134.0,115,291,84.0,221.0,39,46,26.0,88.0,28,38.0,8.0,25.0,124,353,False
117,203518,Alex Abrines,2018-19,3,1610612760,OKC,25.0,Guard,31,2.0,588.0,56,157,41.0,127.0,12,13,5.0,43.0,20,17.0,6.0,14.0,53,165,False
120,101165,Alex Acker,2005-06,3,1610612765,DET,23.0,Guard,5,0.0,35.0,4,16,1.0,5.0,0,0,1.0,4.0,4,1.0,0.0,4.0,4,9,False
121,101165,Alex Acker,2008-09,3,1610612765,DET,26.0,Guard,7,0.0,20.0,4,11,0.0,4.0,1,2,0.0,2.0,1,2.0,1.0,0.0,0,9,False
122,101165,Alex Acker,2008-09,3,1610612746,LAC,26.0,Guard,18,0.0,179.0,26,65,7.0,16.0,4,8,8.0,14.0,11,3.0,3.0,7.0,9,63,False
123,101165,Alex Acker,2008-09,3,0,TOT,26.0,Guard,25,0.0,200.0,30,76,7.0,20.0,5,10,8.0,16.0,12,5.0,4.0,7.0,9,72,False
171,1629121,Jaylen Adams,2018-19,3,1610612737,ATL,23.0,Guard,34,1.0,428.0,38,110,25.0,74.0,7,9,11.0,49.0,65,14.0,5.0,28.0,45,108,False
172,1629121,Jaylen Adams,2020-21,3,1610612749,MIL,25.0,Guard,7,0.0,18.0,1,8,0.0,2.0,0,0,0.0,3.0,2,0.0,0.0,0.0,1,2,False
173,203919,Jordan Adams,2014-15,3,1610612763,MEM,20.0,Guard,30,0.0,248.0,35,86,10.0,25.0,14,23,9.0,19.0,16,16.0,7.0,14.0,24,94,False
